,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.3869435179660377,0.7556491244455974,-0.6312943935204403
1,2018-08-27,2020-01-13,-2.032250409238998,-1.0184079991889268,1.0138424100500714
2,2018-08-27,2019-11-26,2.851377000078195,-1.8889526682750801,-4.740329668353275
3,2018-08-27,2019-10-09,-2.3436645981058075,-0.3372877953826503,2.006376802723157
4,2018-08-27,2019-09-15,-1.7258903045473062,-2.4713915587170403,-0.7455012541697341
5,2018-08-27,2020-03-01,-1.9113768799510455,-1.594995459371299,0.3163814205797466
6,2018-08-27,2020-04-18,-1.1060978685491396,-0.6034956844140527,0.502602184135087
7,2018-08-27,2020-03-25,2.3013360572833172,-1.6690505447472703,-3.9703866020305876
8,2018-08-27,2019-07-29,-3.0847558691449484,2.7190616646868224,5.80381753383177
9,2018-08-27,2019-06-11,0.10092623364743997,-0.285284607528304,-0.38621084117574395
10,2018-08-27,2020-02-06,2.9929201785076693,-2.24941793292649,-5.24233811143416
11,2018-08-27,2019-04-24,2.183920877510571,1.537120244388257,-0.646800633122314
12,2018-08-27,2018-10-14,0.7328291133394703,-2.5176288015056256,-3.250457914845096
13,2018-08-27,2018-12-01,0.9169235431259585,2.127615589522397,1.2106920463964386
14,2018-08-27,2018-12-25,2.539137149710345,-0.28190203578388406,-2.821039185494229
15,2018-08-27,2019-02-11,0.11970628707406471,-2.828651674566624,-2.948357961640689
16,2018-08-27,2019-01-18,2.9637044635861076,-1.5744769385710768,-4.538181402157185
17,2018-08-27,2019-08-22,1.919288596966712,2.0431694027329854,0.12388080576627347
18,2018-08-27,2019-03-07,-0.24455372596031014,-0.1742169048992167,0.07033682106109343
19,2018-08-27,2019-05-18,-0.863721479251023,-1.1462663876444976,-0.28254490839347457
20,2018-09-20,2020-02-06,1.2761819585453227,2.9029854301819884,1.6268034716366657
21,2018-09-20,2020-03-25,0.6878859855966922,-2.68752818148394,-3.375414167080632
22,2018-09-20,2019-08-22,0.8532721547826905,1.553928465744047,0.7006563109613566
23,2018-09-20,2020-04-18,-2.470058500685537,-1.3454121239518289,1.124646376733708
24,2018-09-20,2020-01-13,-2.4744842896055195,-0.8612841775121011,1.6132001120934185
25,2018-09-20,2019-11-26,2.2302403287768655,-1.9400125799089147,-4.1702529086857805
26,2018-09-20,2019-10-09,2.205220845918665,-1.401308000725586,-3.606528846644251
27,2018-09-20,2019-09-15,-1.0447799835328595,3.098740762123216,4.143520745656075
28,2018-09-20,2020-03-01,2.23142564013401,-0.5394168491637927,-2.7708424892978027
29,2018-09-20,2019-06-11,-1.223212566992795,-0.9902919069333191,0.23292066005947576
30,2018-09-20,2019-05-18,-2.4929838888977875,-2.1488616717759297,0.34412221712185787
31,2018-09-20,2019-07-29,1.0647920425495938,1.2097194214766458,0.144927378927052
32,2018-09-20,2018-12-01,-0.5412709718380638,1.2759542082097406,1.8172251800478043
33,2018-09-20,2018-12-25,1.1775036929610887,-0.9926707194884047,-2.1701744124494935
34,2018-09-20,2019-01-18,2.6822456668097905,-1.2046830916704572,-3.8869287584802477
35,2018-09-20,2018-10-14,-0.4930035849584755,-1.1625270139011032,-0.6695234289426277
36,2018-09-20,2019-02-11,-1.6887960040851435,2.262815291435394,3.9516112955205376
37,2018-09-20,2019-03-07,-1.4125345290971967,-0.7165841829440637,0.695950346153133
38,2018-09-20,2019-04-24,0.9264368393802154,0.9317036350520096,0.005266795671794222
39,2018-10-14,2020-04-18,-1.272681458804066,2.3727199148902067,3.6454013736942725
40,2018-10-14,2020-03-25,1.0723001250358009,0.22936257073963529,-0.8429375542961656
41,2018-10-14,2020-03-01,2.9241363764194355,0.1682627132822001,-2.755873663137235
42,2018-10-14,2020-02-06,2.598373706829182,0.5349393411752236,-2.063434365653958
43,2018-10-14,2020-01-13,-2.446363390808441,1.7551797035841257,4.201543094392567
44,2018-10-14,2019-11-26,2.818946751324281,1.2522512155007524,-1.5666955358235286
45,2018-10-14,2019-10-09,2.8112536287915253,1.7952310759561263,-1.016022552835399
46,2018-10-14,2019-09-15,-2.87555347509748,-0.43216863081554724,2.443384844281933
47,2018-10-14,2019-08-22,1.3927603014206664,-1.616697963310151,-3.0094582647308172
48,2018-10-14,2018-12-01,-0.08951246575258257,-2.009821024951185,-1.9203085591986027
49,2018-10-14,2019-06-11,-0.7665164224532378,2.017846878343081,2.784363300796319
50,2018-10-14,2019-05-18,-1.8242158243233004,1.0649391733530607,2.889154997676361
51,2018-10-14,2019-04-24,1.7233103023615712,-1.9950322384817554,-3.7183425408433264
52,2018-10-14,2019-03-07,-0.3047721656748588,2.976393556266026,3.281165721940885
53,2018-10-14,2019-02-11,-1.598837590771243,-1.3769015228549084,0.2219360679163347
54,2018-10-14,2019-01-18,2.8183846722928307,1.4956527584941288,-1.322731913798702
55,2018-10-14,2018-12-25,2.3435418005266793,2.7196798387866874,0.37613803826000813
56,2018-10-14,2019-07-29,1.2319078496886229,-2.402907522029947,-3.6348153717185703
57,2018-12-01,2019-10-09,2.4198525910438775,-1.6732287501231164,-4.093081341166994
58,2018-12-01,2019-11-26,1.9890813369275027,2.2805667641411467,0.291485427213644
59,2018-12-01,2020-02-06,1.8585230676463793,1.6714651280353212,-0.1870579396110581
60,2018-12-01,2020-03-25,1.4003732245196334,2.4601579599913737,1.0597847354717402
61,2018-12-01,2020-04-18,-2.171897304430223,-2.9290179534247605,-0.7571206489945372
62,2018-12-01,2019-09-15,0.6188245444707966,1.1366292739138923,0.5178047294430957
