,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.4355148863359792,0.6750564546224158,-0.7604584317135634
1,2018-09-20,2018-10-14,-0.49135483971082905,-1.1216294845881625,-0.6302746448773334
2,2018-10-14,2018-12-01,-0.12923080427338843,-1.9439178578957852,-1.8146870536223967
3,2018-12-01,2018-12-25,2.1216454076091065,-1.9190340618173498,-4.040679469426456
4,2018-12-25,2019-01-18,-0.4798851343909745,-2.0757948041856675,-1.595909669794693
5,2019-01-18,2019-02-11,1.5141254173579664,2.7911016743611947,1.2769762570032284
6,2019-02-11,2019-03-07,1.378376887413533,-1.8314293619141775,-3.2098062493277104
7,2019-03-07,2019-04-24,2.1666743825197425,1.3661219618899676,-0.8005524206297749
8,2019-04-24,2019-05-18,2.3646540674090417,2.777027610069347,0.41237354266030524
9,2019-05-18,2019-06-11,1.081299244235641,0.9944384663129515,-0.08686077792268954
10,2019-06-11,2019-07-29,2.7369742662686214,2.8894405182694505,0.15246625200082908
11,2019-07-29,2019-08-22,-1.0533519239986637,-0.6886857965653334,0.3646661274333304
12,2019-08-22,2019-09-15,2.1896701989812732,1.298776973296861,-0.8908932256844122
13,2019-09-15,2019-10-09,-0.8955072762764955,1.8181059039583987,2.713613180234894
14,2019-10-09,2019-11-26,-0.8954136938511496,-1.2292911309067007,-0.3338774370555512
15,2019-11-26,2020-01-13,1.3697284430229533,0.7825600024193835,-0.5871684406035698
16,2020-01-13,2020-02-06,-1.6458219321981975,-1.67064474582374,-0.024822813625542395
17,2020-02-06,2020-03-01,1.0134345636635977,0.10186393536871355,-0.9115706282948842
18,2020-03-01,2020-03-25,-1.0590740759440338,1.0133051568633735,2.0723792328074073
