,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.3869435179660377,0.7556491244455974,-0.6312943935204403
1,2018-09-20,2018-10-14,-0.4930035849584755,-1.1625270139011032,-0.6695234289426277
2,2018-10-14,2018-12-01,-0.08951246575258257,-2.009821024951185,-1.9203085591986027
3,2018-12-01,2018-12-25,2.1117183812773623,-1.9025625129268546,-4.014280894204217
4,2018-12-25,2019-01-18,-0.42626327154283605,-2.164767574089597,-1.738504302546761
5,2019-01-18,2019-02-11,1.422936647613841,2.9424078210655065,1.5194711734516655
6,2019-02-11,2019-03-07,1.410667733578275,-1.8850083667954962,-3.295676100373771
7,2019-03-07,2019-04-24,2.153201895084832,1.3884763643464728,-0.7647255307383594
8,2019-04-24,2019-05-18,2.427158595354732,2.673316165345759,0.246157569991027
9,2019-05-18,2019-06-11,1.0803544747419507,0.9960060868652564,-0.0843483878766943
10,2019-06-11,2019-07-29,2.742984296538388,2.8794682972315284,0.13648400069314048
11,2019-07-29,2019-08-22,-1.1117513153067398,-0.591785850811168,0.5199654644955718
12,2019-08-22,2019-09-15,2.1770358861934094,1.3197406196760666,-0.8572952665173428
13,2019-09-15,2019-10-09,-0.9071211925920285,1.8373764468399882,2.7444976394320166
14,2019-10-09,2019-11-26,-0.8201755952669321,-1.3541309205901262,-0.5339553253231941
15,2019-11-26,2020-01-13,1.3576700825500925,0.802567991289806,-0.5551020912602864
16,2020-01-13,2020-02-06,-1.6597604744756538,-1.647517039032676,0.01224343544297768
17,2020-02-06,2020-03-01,0.9529684143307485,0.20219317451909624,-0.7507752398116523
18,2020-03-01,2020-03-25,-1.006515573075719,0.9260967812028559,1.9326123542785747
