,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.3618281163833976,0.8014419107248313,-0.5603862056585663
1,2018-09-20,2018-10-14,-0.4938587132979024,-1.1609520568616045,-0.6670933435637021
2,2018-10-14,2018-12-01,-0.06903636607453957,-2.0472568170633116,-1.978220450988772
3,2018-12-01,2018-12-25,2.1065907329754547,-1.8931739673919326,-3.999764700367387
4,2018-12-25,2019-01-18,-0.3986300135211543,-2.21535575469704,-1.816725741175886
5,2019-01-18,2019-02-11,1.3758699526498388,3.0285325291847536,1.6526625765349148
6,2019-02-11,2019-03-07,1.4273706049819297,-1.9154465262003941,-3.342817131182324
7,2019-03-07,2019-04-24,2.1462134921166895,1.401156720240432,-0.7450567718762575
8,2019-04-24,2019-05-18,2.459324101571386,2.6145764986911675,0.15525239711978145
9,2019-05-18,2019-06-11,1.0798699417274733,0.9968880613188715,-0.08298188040860177
10,2019-06-11,2019-07-29,2.74607771472842,2.873808014734421,0.12773030000600105
11,2019-07-29,2019-08-22,-1.1418931759454354,-0.5367409982512577,0.6051521776941777
12,2019-08-22,2019-09-15,2.170497574149282,1.331624969456129,-0.838872604693153
13,2019-09-15,2019-10-09,-0.9129938467278751,1.8483318979413592,2.761325744669234
14,2019-10-09,2019-11-26,-0.7813290879384341,-1.4249964956210026,-0.6436674076825685
15,2019-11-26,2020-01-13,1.3514467699057238,0.8139261683962662,-0.5375206015094576
16,2020-01-13,2020-02-06,-1.6669423007463104,-1.634375871560604,0.0325664291857064
17,2020-02-06,2020-03-01,0.9217561412352518,0.25904967367592274,-0.662706467559329
18,2020-03-01,2020-03-25,-0.9794231015900257,0.8766009200130616,1.8560240216030872
