,master,slave,phi_anchored,phi_floating,floating_sub_anchored
0,2018-08-27,2018-09-20,1.3542234079168243,0.8505301683012598,-0.5036932396155644
1,2018-09-20,2018-10-14,-0.49072600819169043,-3.072220783293943,-2.581494775102253
2,2018-10-14,2018-12-01,-0.06388240370433473,-2.095547137267477,-2.0316647335631424
3,2018-12-01,2018-12-25,2.1005445514685466,-1.874585582673906,-3.9751301341424528
4,2018-12-25,2019-01-18,-0.39255793736137135,-2.2694396572537245,-1.8768817198923533
5,2019-01-18,2019-02-11,1.3641734457861037,1.935463135898281,0.5712896901121773
6,2019-02-11,2019-03-07,1.4369931846460138,-1.9456361393353019,-3.3826293239813157
7,2019-03-07,2019-04-24,2.1391860916937504,1.4177399634621541,-0.7214461282315963
8,2019-04-24,2019-05-18,2.4752686590139286,2.557456331121423,0.08218767210749434
9,2019-05-18,2019-06-11,1.0807762055037955,0.9875850801275918,-0.09319112537620367
10,2019-06-11,2019-07-29,3.0039929177240174,2.8782958821486586,-0.12569703557535883
11,2019-07-29,2019-08-22,-1.1526628988061425,-0.4813227996288518,0.6713400991772907
12,2019-08-22,2019-09-15,2.1758690641288423,1.3413306811805317,-0.8345383829483106
13,2019-09-15,2019-10-09,-0.9225895524690519,1.865025819394154,2.7876153718632057
14,2019-10-09,2019-11-26,-0.769529249611416,-1.5051753079764776,-0.7356460583650616
15,2019-11-26,2020-01-13,1.3455839168074113,0.827888680592691,-0.5176952362147202
16,2020-01-13,2020-02-06,-1.6611779277983145,-1.6319352313078603,0.02924269649045419
17,2020-02-06,2020-03-01,0.8996768228558262,0.32578530261619343,-0.5738915202396327
18,2020-03-01,2020-03-25,-0.9659627362706291,0.8273327410033384,1.7932954772739675
